#      mass       lower
 2.8074e-01  2.3628e-04
 2.8103e-01  2.3705e-04
 2.8132e-01  2.2521e-04
 2.8162e-01  2.1843e-04
 2.8191e-01  2.1578e-04
 2.8220e-01  2.2072e-04
 2.8249e-01  2.3147e-04
 2.8279e-01  2.4078e-04
 2.8308e-01  2.4421e-04
 2.8337e-01  2.4756e-04
 2.8367e-01  2.5322e-04
 2.8396e-01  2.5505e-04
 2.8425e-01  2.4630e-04
 2.8455e-01  2.3406e-04
 2.8485e-01  2.2266e-04
 2.8514e-01  2.1685e-04
 2.8544e-01  2.2326e-04
 2.8574e-01  2.3468e-04
 2.8603e-01  2.3598e-04
 2.8633e-01  2.2607e-04
 2.8663e-01  2.0864e-04
 2.8693e-01  1.9431e-04
 2.8722e-01  1.8679e-04
 2.8752e-01  1.8219e-04
 2.8782e-01  1.8091e-04
 2.8812e-01  1.8263e-04
 2.8842e-01  1.8513e-04
 2.8872e-01  1.8674e-04
 2.8902e-01  1.8416e-04
 2.8932e-01  1.8264e-04
 2.8962e-01  1.8599e-04
 2.8993e-01  1.9903e-04
 2.9023e-01  2.1489e-04
 2.9053e-01  2.2582e-04
 2.9083e-01  2.3103e-04
 2.9113e-01  2.3193e-04
 2.9143e-01  2.2769e-04
 2.9174e-01  2.2327e-04
 2.9204e-01  2.2079e-04
 2.9234e-01  2.2371e-04
 2.9265e-01  2.3600e-04
 2.9296e-01  2.5224e-04
 2.9326e-01  2.6507e-04
 2.9356e-01  2.7330e-04
 2.9387e-01  2.7020e-04
 2.9417e-01  2.7027e-04
 2.9448e-01  2.6809e-04
 2.9478e-01  2.6659e-04
 2.9509e-01  2.6136e-04
 2.9540e-01  2.5182e-04
 2.9571e-01  2.4250e-04
 2.9601e-01  2.3471e-04
 2.9632e-01  2.3796e-04
 2.9663e-01  2.4866e-04
 2.9694e-01  2.6903e-04
 2.9724e-01  2.8922e-04
 2.9756e-01  3.0925e-04
 2.9786e-01  3.1104e-04
 2.9817e-01  3.0645e-04
 2.9848e-01  3.0653e-04
 2.9879e-01  3.0748e-04
 2.9910e-01  3.1453e-04
 2.9941e-01  3.2467e-04
 2.9972e-01  3.3306e-04
 3.0003e-01  3.4178e-04
 3.0034e-01  3.3610e-04
 3.0065e-01  3.2133e-04
 3.0097e-01  2.9427e-04
 3.0128e-01  2.7074e-04
 3.0159e-01  2.5675e-04
 3.0191e-01  2.5301e-04
 3.0222e-01  2.4683e-04
 3.0253e-01  2.3546e-04
 3.0285e-01  2.2606e-04
 3.0316e-01  2.1586e-04
 3.0347e-01  2.1013e-04
 3.0379e-01  2.0099e-04
 3.0411e-01  1.9355e-04
 3.0442e-01  1.8194e-04
 3.0474e-01  1.7630e-04
 3.0506e-01  1.7790e-04
 3.0537e-01  1.8098e-04
 3.0569e-01  1.8460e-04
 3.0601e-01  1.9393e-04
 3.0633e-01  1.9887e-04
 3.0665e-01  2.0222e-04
 3.0697e-01  1.9948e-04
 3.0729e-01  1.8855e-04
 3.0761e-01  1.8089e-04
 3.0793e-01  1.8330e-04
 3.0825e-01  1.9442e-04
 3.0858e-01  2.0607e-04
 3.0890e-01  2.1517e-04
 3.0922e-01  2.1850e-04
 3.0955e-01  2.1661e-04
 3.0987e-01  2.1600e-04
 3.1020e-01  2.1347e-04
 3.1052e-01  2.1465e-04
 3.1085e-01  2.2240e-04
 3.1117e-01  2.2916e-04
 3.1150e-01  2.3762e-04
 3.1183e-01  2.4009e-04
 3.1215e-01  2.4868e-04
 3.1248e-01  2.4848e-04
 3.1281e-01  2.4113e-04
 3.1314e-01  2.3144e-04
 3.1347e-01  2.1492e-04
 3.1380e-01  1.9961e-04
 3.1413e-01  1.8880e-04
 3.1446e-01  1.8566e-04
 3.1479e-01  1.9516e-04
 3.1513e-01  2.1276e-04
 3.1546e-01  2.3189e-04
 3.1579e-01  2.4547e-04
 3.1613e-01  2.5681e-04
 3.1646e-01  2.7250e-04
 3.1679e-01  2.8717e-04
 3.1713e-01  2.7901e-04
 3.1747e-01  2.6783e-04
 3.1780e-01  2.6463e-04
 3.1813e-01  2.6228e-04
 3.1847e-01  2.5744e-04
 3.1881e-01  2.5239e-04
 3.1915e-01  2.4841e-04
 3.1948e-01  2.5641e-04
 3.1982e-01  2.6960e-04
 3.2016e-01  2.8554e-04
 3.2050e-01  3.0072e-04
 3.2084e-01  3.1136e-04
 3.2118e-01  3.3478e-04
 3.2152e-01  3.5360e-04
